dist,value
2546,2766.907958984375
2547,2767.072021484375
2548,2767.7470703125
2549,2767.75
2550,2767.68798828125
2551,2767.73388671875
2552,2768.125
2553,2768.364990234375
2554,2768.39306640625
2555,2768.49609375
2556,2768.471923828125
2557,2768.4150390625
2558,2768.625
2559,2768.68408203125
2560,2768.680908203125
2561,2768.718017578125
2562,2768.77392578125
2563,2768.94189453125
2564,2768.94189453125
2565,2769.10498046875
2566,2769.14501953125
2567,2769.4140625
2568,2769.9189453125
2569,2769.9189453125
2570,2770.39306640625
2571,2770.51708984375
2572,2770.881103515625
2573,2771.133056640625
2574,2771.133056640625
2575,2771.444091796875
2576,2771.487060546875
2577,2771.616943359375
2578,2771.947021484375
2579,2771.947021484375
2580,2772.3330078125
2581,2772.7060546875
2582,2772.906982421875
2583,2773.013916015625
2584,2773.299072265625
2585,2773.739990234375
2586,2774.1298828125
2587,2774.248046875
2588,2774.345947265625
2589,2774.511962890625
2590,2774.843017578125
2591,2775.10888671875
2592,2775.237060546875
2593,2775.262939453125
2594,2775.431884765625
2595,2775.595947265625
2596,2775.89501953125
2597,2775.9970703125
2598,2776.10595703125
2599,2776.14501953125
2600,2776.39501953125
2601,2776.781982421875
2602,2776.781982421875
2603,2777.14111328125
2604,2777.27099609375
2605,2777.677978515625
2606,2778.407958984375
2607,2778.407958984375
2608,2779.072021484375
2609,2779.365966796875
2610,2779.868896484375
2611,2780.281005859375
2612,2780.281005859375
2613,2780.764892578125
2614,2781.300048828125
2615,2781.47900390625
2616,2782.052001953125
2617,2782.052001953125
2618,2782.677978515625
2619,2783.092041015625
2620,2783.280029296875
2621,2783.577880859375
2622,2783.577880859375
2623,2783.7890625
2624,2784.0400390625
2625,2784.0419921875
2626,2784.069091796875
2627,2784.220947265625
2628,2784.239990234375
2629,2784.613037109375
2630,2784.7890625
2631,2784.822998046875
2632,2784.985107421875
2633,2785.156005859375
2634,2785.177978515625
2635,2785.1201171875
2636,2785.090087890625
2637,2785.2509765625
2638,2785.388916015625
2639,2785.553955078125
2640,2785.5419921875
2641,2785.573974609375
2642,2785.785888671875
2643,2785.85791015625
2644,2786.073974609375
2645,2786.073974609375
2646,2786.0859375
2647,2786.08203125
2648,2786.14306640625
2649,2786.23291015625
2650,2786.23291015625
2651,2786.596923828125
2652,2787.056884765625
2653,2787.202880859375
2654,2787.60791015625
2655,2787.60791015625
2656,2788.008056640625
2657,2788.462890625
2658,2788.654052734375
2659,2789.0390625
2660,2789.0390625
2661,2789.31396484375
2662,2789.48193359375
2663,2789.39208984375
2664,2789.489013671875
2665,2789.489013671875
2666,2789.717041015625
2667,2789.8759765625
2668,2789.949951171875
2669,2790.031005859375
2670,2790.0458984375
2671,2789.760009765625
2672,2790.160888671875
2673,2790.470947265625
2674,2790.569091796875
2675,2790.97509765625
2676,2791.12109375
2677,2791.56103515625
2678,2791.69091796875
2679,2792.0
2680,2792.43994140625
2681,2792.52197265625
2682,2793.01904296875
2683,2793.056884765625
2684,2793.614013671875
2685,2794.2099609375
2686,2794.261962890625
2687,2795.035888671875
2688,2795.035888671875
2689,2795.694091796875
2690,2796.011962890625
2691,2796.251953125
2692,2797.0009765625
2693,2797.0009765625
2694,2797.7509765625
2695,2798.5
2696,2799.24609375
2697,2800.169921875
2698,2800.169921875
2699,2801.364990234375
2700,2802.361083984375
2701,2802.81201171875
2702,2803.636962890625
2703,2804.068115234375
2704,2804.15087890625
2705,2805.132080078125
2706,2805.43505859375
2707,2806.05810546875
2708,2806.298095703125
2709,2806.548095703125
2710,2807.110107421875
2711,2807.322021484375
2712,2807.631103515625
2713,2808.094970703125
2714,2808.2060546875
2715,2808.885009765625
2716,2809.2109375
2717,2809.444091796875
2718,2809.97802734375
2719,2810.531982421875
2720,2811.241943359375
2721,2811.595947265625
2722,2811.7509765625
2723,2812.22900390625
2724,2812.781005859375
2725,2813.55908203125
2726,2814.14111328125
2727,2814.26708984375
2728,2814.554931640625
2729,2814.968017578125
2730,2815.778076171875
2731,2815.778076171875
2732,2816.534912109375
2733,2817.299072265625
2734,2817.862060546875
2735,2818.653076171875
2736,2818.903076171875
2737,2819.47412109375
2738,2820.375
2739,2820.946044921875
2740,2821.93408203125
2741,2822.39501953125
2742,2823.176025390625
2743,2823.8369140625
2744,2824.197998046875
2745,2824.85888671875
